Metric Name,Last Configured
dydxprotocol.acknowledge_bridges_latency.count,-
dydxprotocol.acknowledge_bridges_latency.sum,-
dydxprotocol.add_perpetual_fill_amount_latency.count,-
dydxprotocol.add_premium_samples_latency.count,-
dydxprotocol.add_premium_samples_latency.quantile,-
dydxprotocol.add_premium_samples_latency.sum,-
dydxprotocol.add_premium_votes_latency.count,-
dydxprotocol.add_premium_votes_latency.quantile,-
dydxprotocol.add_premium_votes_latency.sum,-
dydxprotocol.ante_msg_exec_count.count,-
dydxprotocol.begin_blocker.count,-
dydxprotocol.can_update_subaccounts_latency.count,-
dydxprotocol.can_update_subaccounts_latency.quantile,-
dydxprotocol.can_update_subaccounts_latency.sum,-
dydxprotocol.cancel_short_term_order_latency.count,-
dydxprotocol.cancel_short_term_order_latency.quantile,-
dydxprotocol.cancel_short_term_order_latency.sum,-
dydxprotocol.check_collateralization_for_subaccounts_latency.count,-
dydxprotocol.check_collateralization_for_subaccounts_latency.quantile,-
dydxprotocol.check_collateralization_for_subaccounts_latency.sum,-
dydxprotocol.clob_cancel_order_error_count.count,-
dydxprotocol.clob_cancel_order_success_count.count,-
dydxprotocol.clob_cancel_short_term_order_count.count,-
dydxprotocol.clob_cancel_short_term_order_removed_from_orderbook.count,-
dydxprotocol.clob_cancel_stateful_order_error_count.count,-
dydxprotocol.clob_cancel_stateful_order_success_count.count,-
dydxprotocol.clob_clob_conditional_order_triggered_count.count,-
dydxprotocol.clob_collateralization_check_subaccounts_count,-
dydxprotocol.clob_conditional_order_trigger_price,-
dydxprotocol.clob_expired_stateful_order_removed.count,-
dydxprotocol.clob_get_subaccounts_with_positions_in_final_settlement_markets_latency.count,-
dydxprotocol.clob_get_subaccounts_with_positions_in_final_settlement_markets_latency.quantile,-
dydxprotocol.clob_get_subaccounts_with_positions_in_final_settlement_markets_latency.sum,-
dydxprotocol.clob_liquidate_subaccounts_against_orderbook_deleverage_latency.count,-
dydxprotocol.clob_liquidate_subaccounts_against_orderbook_deleverage_latency.quantile,-
dydxprotocol.clob_liquidate_subaccounts_against_orderbook_deleverage_latency.sum,-
dydxprotocol.clob_liquidate_subaccounts_against_orderbook_get_liquidations_latency.count,-
dydxprotocol.clob_liquidate_subaccounts_against_orderbook_get_liquidations_latency.quantile,-
dydxprotocol.clob_liquidate_subaccounts_against_orderbook_get_liquidations_latency.sum,-
dydxprotocol.clob_liquidate_subaccounts_against_orderbook_latency.count,-
dydxprotocol.clob_liquidate_subaccounts_against_orderbook_latency.quantile,-
dydxprotocol.clob_liquidate_subaccounts_against_orderbook_latency.sum,-
dydxprotocol.clob_liquidate_subaccounts_against_orderbook_place_liquidations_latency.count,-
dydxprotocol.clob_liquidate_subaccounts_against_orderbook_place_liquidations_latency.quantile,-
dydxprotocol.clob_liquidate_subaccounts_against_orderbook_place_liquidations_latency.sum,-
dydxprotocol.clob_maybe_trigger_conditional_orders.count,-
dydxprotocol.clob_maybe_trigger_conditional_orders.quantile,-
dydxprotocol.clob_maybe_trigger_conditional_orders.sum,-
dydxprotocol.clob_memclob_purge_invalid_state_latency.count,-
dydxprotocol.clob_memclob_purge_invalid_state_latency.quantile,-
dydxprotocol.clob_memclob_purge_invalid_state_latency.sum,-
dydxprotocol.clob_memclob_replay_operations_latency.count,-
dydxprotocol.clob_memclob_replay_operations_latency.quantile,-
dydxprotocol.clob_memclob_replay_operations_latency.sum,-
dydxprotocol.clob_memclob_replay_operations_operations_queue_length,-
dydxprotocol.clob_num_conditional_order_removals.count,-
dydxprotocol.clob_num_conditional_order_removals.quantile,-
dydxprotocol.clob_num_conditional_order_removals.sum,-
dydxprotocol.clob_num_fills.count,-
dydxprotocol.clob_num_fills.quantile,-
dydxprotocol.clob_num_fills.sum,-
dydxprotocol.clob_num_long_term_order_removals.count,-
dydxprotocol.clob_num_long_term_order_removals.quantile,-
dydxprotocol.clob_num_long_term_order_removals.sum,-
dydxprotocol.clob_num_match_conditional_orders.count,-
dydxprotocol.clob_num_match_conditional_orders.quantile,-
dydxprotocol.clob_num_match_conditional_orders.sum,-
dydxprotocol.clob_num_match_liquidation_orders.count,-
dydxprotocol.clob_num_match_liquidation_orders.quantile,-
dydxprotocol.clob_num_match_liquidation_orders.sum,-
dydxprotocol.clob_num_match_long_term_orders.count,-
dydxprotocol.clob_num_match_long_term_orders.quantile,-
dydxprotocol.clob_num_match_long_term_orders.sum,-
dydxprotocol.clob_num_match_perp_deleveraging_operations.count,-
dydxprotocol.clob_num_match_perp_deleveraging_operations.quantile,-
dydxprotocol.clob_num_match_perp_deleveraging_operations.sum,-
dydxprotocol.clob_num_match_short_term_orders.count,-
dydxprotocol.clob_num_match_short_term_orders.quantile,-
dydxprotocol.clob_num_match_short_term_orders.sum,-
dydxprotocol.clob_num_match_taker_orders.count,-
dydxprotocol.clob_num_match_taker_orders.quantile,-
dydxprotocol.clob_num_match_taker_orders.sum,-
dydxprotocol.clob_num_matched_orders_in_operations_queue,-
dydxprotocol.clob_num_short_term_order_tx_bytes,-
dydxprotocol.clob_num_unique_subaccounts_deleveraged.count,-
dydxprotocol.clob_num_unique_subaccounts_deleveraged.quantile,-
dydxprotocol.clob_num_unique_subaccounts_deleveraged.sum,-
dydxprotocol.clob_num_unique_subaccounts_liquidated.count,-
dydxprotocol.clob_num_unique_subaccounts_liquidated.quantile,-
dydxprotocol.clob_num_unique_subaccounts_liquidated.sum,-
dydxprotocol.clob_num_unique_subaccounts_offsetting_deleveraged.count,-
dydxprotocol.clob_num_unique_subaccounts_offsetting_deleveraged.quantile,-
dydxprotocol.clob_num_unique_subaccounts_offsetting_deleveraged.sum,-
dydxprotocol.clob_num_untriggered_orders,-
dydxprotocol.clob_operations_queue_length,-
dydxprotocol.clob_place_conditional_orders_from_last_block_count,-
dydxprotocol.clob_place_conditional_orders_from_last_block_latency.count,-
dydxprotocol.clob_place_conditional_orders_from_last_block_latency.quantile,-
dydxprotocol.clob_place_conditional_orders_from_last_block_latency.sum,-
dydxprotocol.clob_place_long_term_orders_from_last_block_count,-
dydxprotocol.clob_place_long_term_orders_from_last_block_latency.count,-
dydxprotocol.clob_place_long_term_orders_from_last_block_latency.quantile,-
dydxprotocol.clob_place_long_term_orders_from_last_block_latency.sum,-
dydxprotocol.clob_place_order_added_to_orderbook.count,-
dydxprotocol.clob_place_order_count.count,-
dydxprotocol.clob_place_order_matched.count,-
dydxprotocol.clob_place_order_rejected.count,-
dydxprotocol.clob_place_order_success_count.count,-
dydxprotocol.clob_place_stateful_order_error_count.count,-
dydxprotocol.clob_place_stateful_order_success_count.count,-
dydxprotocol.clob_prepare_check_state_cannot_deleverage_subaccount.count,-
dydxprotocol.clob_process_operations_stateful_order_removed_count.count,-
dydxprotocol.clob_process_operations_unverified_stateful_order_removal_base_quantums.count,-
dydxprotocol.clob_process_operations_unverified_stateful_order_removal_count.count,-
dydxprotocol.clob_proposed_operations_success_count.count,-
dydxprotocol.clob_rate_limit_cancel_order_accounts_count.count,-
dydxprotocol.clob_rate_limit_cancel_order_count.count,-
dydxprotocol.clob_rate_limit_place_order_accounts_count.count,-
dydxprotocol.clob_rate_limit_place_order_count.count,-
dydxprotocol.clob_remove_and_clear_operations_queue_latency.count,-
dydxprotocol.clob_remove_and_clear_operations_queue_latency.quantile,-
dydxprotocol.clob_remove_and_clear_operations_queue_latency.sum,-
dydxprotocol.clob_replay_operations_skip_order_removal_after_placement.count,-
dydxprotocol.clob_stateful_cancellation_msg_handler_failure_stateful_order_already_removed_count.count,-
dydxprotocol.clob_stateful_order_count.count,-
dydxprotocol.clob_stateful_order_removed_count.count,-
dydxprotocol.clob_subaccount_pending_matches_count,-
dydxprotocol.clob_subaccounts_with_final_settlement_positions_count.count,-
dydxprotocol.clob_subaccounts_with_final_settlement_positions_count.sum,-
dydxprotocol.cometbft_blocksync_block_size_bytes,-
dydxprotocol.cometbft_blocksync_latest_block_height,-
dydxprotocol.cometbft_blocksync_num_txs,-
dydxprotocol.cometbft_blocksync_syncing,-
dydxprotocol.cometbft_blocksync_total_txs,-
dydxprotocol.cometbft_consensus_block_gossip_parts_received.count,-
dydxprotocol.cometbft_consensus_block_interval_seconds.bucket,-
dydxprotocol.cometbft_consensus_block_interval_seconds.count,-
dydxprotocol.cometbft_consensus_block_interval_seconds.sum,-
dydxprotocol.cometbft_consensus_block_parts.count,-
dydxprotocol.cometbft_consensus_byzantine_validators,-
dydxprotocol.cometbft_consensus_byzantine_validators_power,-
dydxprotocol.cometbft_consensus_chain_size_bytes.count,-
dydxprotocol.cometbft_consensus_duplicate_block_part.count,-
dydxprotocol.cometbft_consensus_duplicate_vote.count,-
dydxprotocol.cometbft_consensus_late_votes.count,-
dydxprotocol.cometbft_consensus_missing_validators,-
dydxprotocol.cometbft_consensus_proposal_create_count.count,-
dydxprotocol.cometbft_consensus_proposal_receive_count.count,-
dydxprotocol.cometbft_consensus_quorum_prevote_delay,-
dydxprotocol.cometbft_consensus_round_duration_seconds.bucket,-
dydxprotocol.cometbft_consensus_round_duration_seconds.count,-
dydxprotocol.cometbft_consensus_round_duration_seconds.sum,-
dydxprotocol.cometbft_consensus_round_voting_power_percent,-
dydxprotocol.cometbft_consensus_step_duration_seconds.bucket,-
dydxprotocol.cometbft_consensus_step_duration_seconds.count,-
dydxprotocol.cometbft_consensus_step_duration_seconds.sum,-
dydxprotocol.cometbft_consensus_total_txs,-
dydxprotocol.cometbft_consensus_validator_missed_blocks,-
dydxprotocol.cometbft_consensus_validators,-
dydxprotocol.cometbft_consensus_validators_power,-
dydxprotocol.cometbft_mempool_active_outbound_connections,-
dydxprotocol.cometbft_mempool_size_bytes,-
dydxprotocol.cometbft_mempool_tx_size_bytes.bucket,-
dydxprotocol.cometbft_mempool_tx_size_bytes.count,-
dydxprotocol.cometbft_mempool_tx_size_bytes.sum,-
dydxprotocol.cometbft_p2p_message_receive_bytes.count,-
dydxprotocol.cometbft_p2p_message_send_bytes.count,-
dydxprotocol.cometbft_p2p_peer_pending_send_bytes,-
dydxprotocol.cometbft_p2p_peer_receive_bytes.count,-
dydxprotocol.cometbft_p2p_peer_send_bytes.count,-
dydxprotocol.cometbft_p2p_peers,-
dydxprotocol.cometbft_state_block_processing_time.bucket,-
dydxprotocol.cometbft_state_consensus_param_updates.count,-
dydxprotocol.cometbft_state_validator_set_updates.count,-
dydxprotocol.complete_bridge_latency.count,-
dydxprotocol.complete_bridge_latency.sum,-
dydxprotocol.construct_liquidation_order.count,-
dydxprotocol.construct_liquidation_order.quantile,-
dydxprotocol.construct_liquidation_order.sum,-
dydxprotocol.convert_to_updates_latency.count,-
dydxprotocol.convert_to_updates_latency.quantile,-
dydxprotocol.convert_to_updates_latency.sum,-
dydxprotocol.cosmos_slashing_v1beta1_Query_Params.count,-
dydxprotocol.cosmos_slashing_v1beta1_Query_Params.quantile,-
dydxprotocol.cosmos_slashing_v1beta1_Query_Params.sum,-
dydxprotocol.cosmos_slashing_v1beta1_Query_SigningInfo.count,-
dydxprotocol.cosmos_slashing_v1beta1_Query_SigningInfo.quantile,-
dydxprotocol.cosmos_slashing_v1beta1_Query_SigningInfo.sum,-
dydxprotocol.cosmos_slashing_v1beta1_Query_SigningInfos.count,-
